i,j
527,4967
6307,3624
77,232
735,11181
6487,403
8468,4505
8792,2302
5829,1996
4036,2767
383,10225
6993,8054
9613,4361
4176,4986
6905,7080
10108,853
7576,5352
9082,7432
6345,1061
11301,7925
9102,9219
10453,8784
5673,1881
11519,8509
1763,798
67,7270
1370,8048
1952,4804
1175,3578
9750,3600
7405,1755
3196,2265
5964,1660
3211,610
8964,5031
8992,5894
6943,10877
7291,4415
650,10991
4853,3989
3634,7425
4565,7671
7602,9100
11184,5638
7382,9476
196,9849
2521,2912
911,11339
4072,8874
1726,4363
772,8947
210,8647
10962,5192
11248,1346
7070,135
4691,2365
1359,6652
5107,6506
584,3896
5092,5253
420,4521
10864,4335
4969,6810
3997,2081
1930,482
9782,7096
3717,2920
2842,5018
1168,6045
1528,6629
10759,3893
5686,2308
5446,1509
869,2051
10244,4611
9147,10699
7637,474
4359,289
6195,4635
640,6152
2492,2616
11144,892
4284,2426
2480,4235
4408,7468
9744,1425
7351,6389
643,1884
10377,116
6545,4414
8055,10694
4997,1337
8888,3842
8075,3415
8199,3930
1640,2078
1762,2033
1470,8405
4500,4122
5372,6119
7858,8777
3992,10412
4200,2835
1512,2957
5390,1359
9451,3027
9424,4022
10757,8322
7931,2418
10100,6905
3738,2777
1756,10571
1824,2124
39,2180
3215,5672
10807,1366
3841,4014
5541,9306
11263,7615
8556,4169
6569,8754
7302,5331
4501,2520
3555,9745
9128,1333
1782,10248
1646,6478
5763,11525
8004,7094
1637,2442
1990,4098
3439,7359
6189,598
3511,3342
11150,6379
3645,1990
8805,2453
3652,3971
7943,9736
258,848
708,1180
368,132
8907,62
1955,5403
3162,2988
2871,10791
4213,11389
5510,685
3433,6717
4618,2035
5349,7056
7454,6508
5360,8835
6145,8219
1622,2083
10178,11493
2274,5480
5124,405
8706,4513
3849,11351
668,5858
7217,4280
9649,1427
4730,837
6356,2250
3349,10360
3352,834
7059,2110
10498,5939
6402,2990
6057,10833
3904,2022
607,8769
9055,6620
4495,10276
6992,3898
3052,4527
4501,7027
1608,65
4682,5298
3619,7644
1384,2396
3357,3216
9487,7138
2061,4899
860,2825
10541,2385
8326,1347
3806,1718
2717,8418
4576,5091
9128,1899
3442,8228
9443,4399
2620,11421
5070,5295
1891,6983
4517,3111
5167,1772
7951,6470
7617,886
7346,6510
7017,6379
7161,1663
1409,2572
6884,10346
72,11156
4643,1522
7811,11347
3818,4119
2976,6687
3731,8731
1224,6412
6191,6451
2284,8899
719,6243
6052,7469
9141,3909
10234,335
5250,3844
3456,4887
6379,7726
11390,3821
2361,275
11358,80
7642,2225
5715,5938
1961,8777
956,1974
2207,3476
9200,6783
10673,5573
1894,6346
8688,10784
10846,10513
6033,7118
7687,10528
7951,9071
4368,4084
5911,1101
2523,8395
2403,1722
9393,4715
11438,4259
7700,5179
7988,3465
7498,4612
8901,10513
4804,489
11324,5020
2829,4635
2242,5790
4511,2616
6627,2762
8605,3810
2840,3837
6703,10543
4199,7562
901,6809
1441,8238
1878,10085
289,5717
2272,3565
7819,7359
7761,3546
9645,7293
7425,8579
2442,9116
924,6053
7404,3191
7064,11327
3579,4240
7131,2491
10969,83
2495,3783
2971,10375
1737,11182
3620,8919
5127,7875
5520,8008
307,2457
950,6114
6052,5382
5091,7484
3639,10995
7433,4413
10525,10076
9058,3597
4851,7033
2354,759
3033,4814
2393,3397
5249,3557
5609,10558
4548,5295
961,1561
3199,5772
7668,1966
32,7527
4388,5617
1816,6296
9453,3873
2848,6319
10243,6822
3428,2811
667,9681
9459,11479
11002,10336
1602,1070
8060,726
3746,3185
1757,7185
9105,5149
9199,2087
499,8067
965,4399
6647,4122
11378,4135
2570,2685
7193,3444
11261,186
1717,10818
2342,5984
1575,7781
10757,1227
6175,3944
652,3250
5454,4524
10770,8399
2913,5188
1786,9559
4443,7204
5503,2790
3695,5183
3455,7738
6035,3349
3737,287
2841,11500
745,8378
931,11486
5716,9257
6986,6014
2053,9120
9249,1964
7623,5067
7093,6922
11235,7135
7140,9176
1978,8628
7347,2214
7461,2932
6466,2581
2188,1697
10056,1050
9473,4733
6105,10421
3519,7651
3927,1016
1585,1378
3056,2994
10702,747
8665,5421
1780,10053
10746,9121
3342,2630
9861,8036
1168,2853
9854,4802
9103,5334
7277,8566
10066,4952
6822,10983
10314,1719
9419,1680
888,5588
7057,9391
1991,10152
5146,7445
9633,1251
341,8468
7501,800
334,7297
6791,4069
1086,9747
1774,2106
6339,467
408,9069
6977,10973
2909,4535
367,2549
2278,3961
327,3641
11471,5596
3625,6626
5647,6172
5876,5983
5575,661
7417,7533
10533,8142
9760,10454
10335,3335
367,3692
6198,4415
638,2705
8555,5477
636,6479
5970,7697
7505,4932
10804,11339
8141,1465
5122,995
872,4804
4972,1009
4008,288
3307,10616
8857,7925
7322,10995
10561,7837
9047,9730
3063,1754
7880,1617
3832,1091
3539,5879
5898,6426
2645,6045
11203,3081
5508,3823
8681,9019
8257,7186
3086,8259
260,8836
7924,185
1585,2063
8705,8512
1949,2258
4873,6999
10085,5593
2166,2957
2976,3821
11164,4383
6457,2768
847,3054
9132,11403
11544,4783
7035,9735
1677,8942
9689,4068
7413,6051
6163,1174
166,3204
1404,5227
38,6313
11318,1117
10388,5761
8310,2132
830,3248
223,9731
6034,2751
3057,7541
3598,3205
11263,6731
1718,1586
3563,8699
5301,2144
1593,3884
401,11192
3924,3090
9684,738
3327,7300
5300,5554
1579,3639
499,11508
7854,9131
1299,1134
3831,2675
10326,3096
1577,6102
2150,4532
3289,6315
3113,519
3257,11443
5221,2897
8514,600
7977,8528
3167,6730
7320,347
102,5556
6870,3635
854,8909
1989,10226
3877,370
10801,739
11469,8766
364,3949
5007,1194
4873,8726
94,11071
6208,8012
6832,2203
568,1068
7624,7463
6922,10361
7283,5358
10848,8965
734,7668
9195,5489
5059,3054
1500,11227
4523,10317
943,9488
4868,9857
3475,2288
3473,2674
10760,8977
5171,6559
2190,8785
2205,6131
4369,2303
5018,9103
4476,3039
6495,6977
10694,5225
7227,5102
9005,7019
11466,6675
5840,7163
4723,5905
4516,3900
4152,6245
244,11069
177,8681
212,9462
4403,11241
7864,8281
2972,6134
9416,94
800,7340
8435,2343
7741,6474
4666,3547
5377,2237
3404,8998
11001,6090
4812,5898
2972,1748
471,1512
3585,9755
10143,10933
6869,10185
7949,3664
11221,10630
9486,8407
4894,1390
6510,6745
10966,5586
65,8249
2876,8513
949,3541
2325,9030
10461,11359
2632,5526
5007,1040
3369,6243
3940,1252
2267,7472
7096,3219
1414,5210
9278,4810
4154,6324
1501,4662
496,2504
2015,5448
7073,6144
1697,4429
4230,6232
4173,9455
3877,148
8196,8755
6073,1352
4008,4399
5982,510
783,1638
2071,672
182,3363
817,9420
5598,7690
932,98
273,5586
6587,8439
10821,2555
8175,7813
874,8776
9447,10166
8239,6859
8466,5840
4199,11393
3190,4550
10224,7114
9752,7822
8375,1470
1662,4316
10228,96
11367,382
1602,3401
2281,7065
8660,2822
1673,4631
7272,732
6550,3619
1135,7152
11156,10083
11223,6937
1856,936
808,6606
7264,4173
3000,6480
10986,8435
2301,616
7585,2110
1230,3506
2079,7890
2861,635
4667,6022
840,1287
9141,5280
7451,2316
5380,5831
2299,10082
9055,6497
4380,4731
2860,5741
5864,619
10089,3366
7352,2967
11141,5969
7945,3832
6859,9078
4205,10765
353,6246
1415,4260
3396,4920
782,247
4269,5655
11512,7884
8460,2434
1099,5007
6631,5521
2068,7396
11475,2278
5042,9326
9250,8655
8395,7693
5179,8840
7140,7184
1172,9732
10337,1181
2526,7774
6439,7056
9503,1441
1591,8255
8695,5122
4674,7249
8800,677
3052,1717
1433,621
5488,1092
2261,941
774,5004
10210,4351
6026,2416
8075,2762
9177,2317
7016,8805
646,3160
5559,262
976,5790
3635,2598
10233,7715
9130,3395
7827,8659
5044,7168
7401,3678
3735,4730
10604,4153
1913,8156
5470,5177
3411,4699
4015,10411
4056,3406
664,6943
1097,869
9008,1188
5515,7492
3861,5350
5907,1758
4624,3584
2585,5071
6781,1803
10180,10036
3383,1559
5665,936
3557,4952
4675,10141
4070,7950
2233,7505
974,8010
1950,8830
4561,3128
7719,3621
3401,8764
7851,4856
4102,7893
6696,5957
4128,499
4523,6019
4289,9200
2909,277
3534,9278
2429,5365
7700,8692
2107,5246
5519,8098
9314,8055
2,8310
11212,3525
2553,5525
4628,138
7620,1975
5260,6572
1362,4894
844,10701
8261,6021
954,3638
6402,3674
25,8699
9151,5
5894,4682
473,2562
8053,5827
1638,4093
871,11523
2957,7662
4873,10862
5804,7712
1466,5948
5371,6448
3816,1044
1730,4901
7023,974
3345,10371
10347,3768
7402,9482
8963,337
1072,7017
2756,7378
9839,6343
5009,210
6578,4740
6513,3801
2915,964
8735,1340
4150,4988
1340,3460
7051,6876
9317,5334
753,283
1503,9292
1415,1025
3458,10509
2787,11429
11385,3000
5693,4021
10359,8678
7265,2441
10379,4478
3323,996
3178,31
4928,3119
7144,3230
10381,2761
11489,5672
10640,4379
2682,1119
9668,2184
5558,6465
5495,8532
2035,3998
9485,10356
1821,1132
6827,7346
2587,8318
1425,6417
2684,1653
902,3343
1491,5596
9013,3664
11233,1805
821,2712
3085,2602
3369,1378
7827,10209
6504,4629
3309,4129
11259,3881
7572,7832
4228,9088
7409,1991
5087,651
9069,2060
3919,9407
4017,6994
11420,9075
7925,1135
2673,5323
4661,8689
7503,11287
1172,1141
10979,4377
2122,1407
9280,2681
9998,6145
5523,70
8092,7412
9157,11286
422,1366
7235,1275
7633,5382
1473,8608
3588,7780
2310,8323
1646,4977
1920,3182
11296,3460
559,4281
1815,11457
8806,3278
9292,11459
9471,573
1831,4170
4511,6618
3463,2015
7819,1370
4234,11435
8781,2296
7186,11164
7049,153
6158,208
2596,5168
5364,10849
9520,4555
1776,7696
4225,5558
5126,807
9680,5317
5266,8907
7163,10787
4698,6077
9526,5820
7114,8845
9881,7862
1202,6986
1954,6361
5432,8263
3335,9077
3246,7166
9420,8180
8403,8368
6893,1745
7758,5124
9840,10589
5266,2655
8213,1327
152,8375
2561,5620
11371,6036
9016,5598
1895,385
7239,3816
2888,5031
2545,1517
7920,1111
2353,4892
8368,4439
5356,6316
1217,10391
9461,7201
4800,4270
1309,3961
2964,6074
8198,6845
10848,1001
1414,6311
4116,4286
8963,764
7776,5561
6983,3553
9115,5906
2260,9893
1014,10162
368,3130
7843,7616
2733,1645
8797,6188
5636,3191
4798,10859
6426,2891
10336,4694
8681,4476
1948,8556
5968,8154
2346,5970
5485,7142
2358,4977
1184,10190
7244,780
7479,3996
3846,402
2382,9229
2024,2578
3627,6032
10341,220
2451,4269
4367,3292
3416,65
2080,2891
7019,5826
7215,548
10325,2754
2887,7012
7892,5092
10247,1625
6485,7638
4702,26
5974,4250
591,3552
10366,4369
192,9414
4079,5182
2026,5115
4546,3590
1731,3087
8627,5793
8304,6246
10087,1816
10248,113
4540,8945
2824,2851
1022,1579
987,2322
9463,8251
1687,487
9527,8196
7838,3534
2224,3885
7544,4958
6859,3162
1124,11237
9227,3679
8920,2462
6108,7194
712,5123
3827,1402
4866,11225
12,11428
5885,5328
1002,6219
7554,8541
1110,7562
280,5247
11414,7999
7299,2086
8666,4406
7379,5806
10119,3044
6625,11353
3226,9195
545,919
8771,3053
3092,1563
6077,3802
5279,1892
4031,10338
5598,8926
2223,1390
488,3804
9523,2051
5538,5492
5590,527
6060,11201
1833,9169
1545,8857
8399,4067
3039,11206
1633,4032
6182,2625
6362,8322
11141,9246
4587,2936
1833,8947
7907,7983
5355,8923
11297,8266
3116,3220
725,6057
10757,304
8463,2387
87,1932
135,4446
103,8927
5654,10411
9096,11232
7227,6467
2278,121
10942,7115
9050,137
3405,3078
3753,4375
5187,10938
4195,2894
8963,859
444,1912
7762,4439
2508,800
1440,4965
5978,10960
829,8404
5745,4917
2981,3321
4974,4368
1356,7018
1047,7561
2634,800
8787,4241
943,239
915,6855
3774,1396
5834,395
5670,2998
5768,3476
3847,2982
4522,1776
1372,1310
7959,10513
6129,4478
443,369
437,7643
10413,11232
6839,8530
2949,6474
9077,5238
2561,8
4599,6015
4870,4392
511,10783
5092,8060
2301,474
10999,7136
2343,34
4715,1269
2158,6544
2392,3620
445,478
572,1473
5171,4969
30,822
7821,4444
771,5710
1944,3439
2710,6314
4096,4252
5570,6910
7494,9127
6855,835
1129,7849
157,2103
4650,7712
684,2691
5839,5652
8924,2928
1917,10988
903,3583
94,1970
11453,11179
4199,731
11363,1963
10632,6158
3663,7634
4798,4822
4901,7168
8298,4660
6826,6930
7003,8781
5837,3506
6325,2902
8778,7273
2099,2553
6415,5484
7511,6621
5822,10063
2997,5774
11256,2088
5612,3315
7585,2967
4787,3818
1593,5460
1526,1246
421,3198
1830,5183
10161,3578
999,2825
2387,4067
4169,4369
811,4256
3205,5162
6117,3195
5714,4537
5769,3792
9711,3198
5046,7973
3964,8875
1926,4139
6379,1098
2406,3539
3832,6827
2248,738
5343,1405
9684,6686
443,9008
263,7440
6462,9198
2887,6474
10249,11261
7337,2901
3569,2431
644,7852
11524,383
7399,839
7165,1599
3616,6800
2214,8056
7338,2344
291,3776
11424,8021
254,6061
8925,5945
10166,32
4878,2483
10786,1185
10059,4990
4548,7037
3342,10446
6587,8103
2334,152
1530,2382
2755,3588
9383,5459
9865,7354
2122,573
4122,1051
5478,1820
7707,3474
9738,4767
9393,7466
2188,5777
3008,11453
1114,11413
2070,7544
3964,3997
208,9668
4032,1949
6412,11070
4606,9851
8119,5590
5764,4355
9725,7614
2908,9422
3048,1640
5926,4770
10969,11435
7647,10846
9609,1085
693,4805
8901,1421
5255,5504
8776,9293
1956,4249
6514,10977
2912,6359
11379,8848
479,10038
4907,4268
4678,816
4919,3429
1429,2642
263,5301
6363,3543
7900,3094
7630,6082
4891,6156
7774,2153
4899,6373
8963,1196
2586,4708
1539,6223
103,1338
11153,1245
4207,3344
3617,11367
10401,5703
9635,1154
2657,10331
8792,5209
754,33
8941,2017
4635,8261
763,262
3333,1785
6647,4781
6946,5793
7604,4974
2282,1724
2273,8107
8464,4536
4021,3002
3543,3584
17,1309
11360,743
1253,486
5645,6309
8410,3462
7695,2841
1116,6092
804,2077
9461,11358
3720,11504
8990,11160
9310,9145
2254,9693
4912,3664
2407,4488
7385,6300
1215,3411
478,978
5427,1246
5707,996
9512,9509
8509,9455
1811,2133
4397,1537
191,8377
3474,7346
6046,8882
2867,1567
8183,2152
10597,7451
2688,10372
633,9861
7821,4121
4822,4744
1284,5842
1828,8046
9353,10532
6010,6615
5050,4609
2739,7091
1470,4291
6004,2417
5502,7993
235,1554
3871,4659
3110,5101
4337,7183
3028,1134
3774,8873
6026,11216
8660,518
1706,1446
1407,5827
4210,11161
7295,9855
4605,4965
6514,10426
10409,3498
10231,4976
3739,8197
1380,11070
1093,4435
361,261
11347,3465
11288,5260
5971,1040
7836,6537
5124,6619
6478,9457
6875,8690
10316,7775
4488,1635
8672,6352
10563,447
7057,6471
2612,9384
9341,3276
2856,8317
4798,7808
4991,9386
8518,5209
3874,8958
2446,5646
838,3532
8374,3096
3254,4627
4356,3839
7372,1272
640,5891
5746,1753
2351,1981
5031,844
8608,1447
8050,5160
5557,8007
7301,10144
4345,8803
1060,2612
808,10572
7761,7499
6890,3596
401,3271
1575,2630
11369,3327
6893,7425
8845,6344
4553,239
2023,9178
3169,433
106,434
7487,7783
2711,10921
5814,670
9410,4561
11288,89
4630,3214
10357,9830
6251,2005
2331,5719
972,8813
7566,1390
8798,10691
11206,1394
2920,11186
4358,10079
3945,775
1297,11461
4860,633
1379,3991
19,7877
2830,10578
4714,8008
680,11385
4912,7635
4453,249
59,7302
7463,837
8965,5
3628,6983
813,1778
8782,2370
8666,11326
4352,11380
8510,4820
3809,8213
7290,5344
4683,6123
6182,6961
101,675
571,2764
4997,3000
3645,7800
398,6489
8009,1197
5350,337
1950,3005
361,5138
10080,367
4610,2008
9644,6504
3528,8442
8700,5334
3770,6922
376,6321
9231,2152
383,10960
9750,3580
9758,10053
7617,3031
3712,165
8119,4413
5581,662
6320,7272
4876,2556
2590,3481
4750,3707
3633,2132
5079,5724
3858,10925
456,9846
6317,2367
2725,5622
4276,4388
527,2518
2847,7891
6825,2777
1665,7271
5369,1926
5610,2804
8804,9005
2024,5838
4051,9583
3600,3474
767,7600
11068,3423
2434,1385
1542,10366
9504,9114
11188,8115
405,10394
803,3508
1265,7771
1594,1279
10991,903
11343,3195
5385,9017
10558,11377
7365,2872
11144,4784
6667,11184
1444,7343
9635,209
4685,2179
2894,5317
5967,3759
11528,6948
9517,231
2467,7134
4261,8191
317,4828
7945,2178
9696,1683
7517,1184
402,1591
1034,4644
5072,2232
474,1708
4258,5293
11449,3829
5499,3831
1425,2181
8045,8544
10768,5173
9851,5926
1837,11186
9762,7873
210,344
11521,1563
934,8011
3709,11331
149,5072
5813,1098
5683,898
1592,2203
3918,3897
7576,3122
8614,10454
2493,11215
3295,11325
8267,522
9715,1665
3348,6680
11479,8004
7504,11469
8556,3267
9097,4438
3682,5936
8926,2587
2844,5137
2158,6427
9348,5357
69,4683
931,5595
2492,6976
11515,5591
3931,8584
4912,3295
8840,221
1682,7920
8677,11141
9731,10707
6520,11526
7487,2850
3623,7308
9764,10461
5479,102
1008,2167
4266,3695
5377,2012
1317,11400
1941,8854
1961,3075
4251,3957
2110,10153
3345,3675
412,4313
4032,9246
1949,5538
6413,9464
3501,8047
4776,3209
1527,610
385,3416
5608,4854
462,2445
9386,8255
5137,1184
6974,10073
425,9666
8657,1488
3487,4298
314,3876
3346,320
1067,2938
11153,9816
9507,6039
1281,6973
4973,223
2546,7976
683,7751
4088,3416
1658,5443
2624,2009
3356,10413
4524,7691
7881,8075
10315,11400
10014,5161
10050,8104
84,10086
2707,1956
746,4164
2584,6633
3780,8142
2692,8003
7381,2928
252,3472
8962,1150
6377,3974
6158,5477
857,2731
4433,2318
130,1999
7035,2165
9087,116
2602,196
11334,2308
2456,1536
1479,4130
4772,5878
8467,5937
635,5093
2350,6276
620,5907
2301,8086
9743,6125
5432,4523
2361,6369
5266,2728
1422,778
10116,8442
10544,10480
4801,2941
1793,8700
2323,3576
3712,10737
7548,7371
10350,6588
7901,11124
5023,8626
3701,10576
653,4044
6974,642
4518,1726
6628,3680
6680,6360
8255,2463
7143,4525
10513,214
6271,7303
7666,589
8601,4289
3717,2407
10512,7365
352,6015
11289,8408
4356,4658
5639,1081
3481,11001
11169,10991
7134,905
5068,2391
2278,2423
1031,3666
877,5169
10939,3605
6623,10828
891,7052
686,5681
5072,752
8050,6359
10921,969
3330,2711
5291,5537
1038,376
5998,1473
10362,1119
9102,1056
8970,279
460,11540
3292,10064
5153,5501
10456,4932
7293,5376
2374,2189
9381,2647
136,6366
7743,4851
1245,9559
1182,5965
6128,2419
7381,4662
11459,4552
2162,1457
11204,5120
2144,1371
7987,9291
7508,58
10580,3008
4320,2537
8245,8329
775,10291
1075,5609
4796,6101
3695,7832
3611,3211
7615,7874
3267,2330
7534,6107
3532,11523
3854,598
4611,12
2510,3296
9606,1660
2611,7673
4252,9404
5101,7019
7468,4407
5118,8561
1881,2290
7812,3110
1714,2578
11503,10588
9128,1205
1422,7627
9278,5007
7107,3252
658,888
351,1761
6579,1164
1399,1118
1629,8848
1292,10584
3653,5974
1795,7213
419,1031
9693,1217
11160,4079
78,1451
7218,1911
8764,5621
9001,4023
9060,3758
11216,11518
6171,3202
9744,10757
1114,925
506,2499
1996,3431
11180,5207
4090,10854
3973,8183
8536,2270
454,424
6645,10777
6417,2615
7710,8908
914,2826
6120,1749
2909,7076
10168,6030
75,7423
9221,6130
3978,3848
3753,2540
11544,8508
7184,6789
1536,4874
2921,2293
1764,817
3158,3107
5470,5457
4468,1453
6581,732
7020,7126
3111,940
6997,3177
6371,126
4230,831
2181,1692
8121,3866
4297,8322
2143,9756
4444,2445
707,10343
3553,8196
3110,1950
11350,7465
11529,11538
10388,6732
4779,8282
9159,2396
7424,1539
3120,1798
10014,6379
647,5622
10233,10253
7017,10529
4087,4781
5517,8795
3666,2289
10515,1138
11207,1529
10559,10420
6122,8505
10326,8782
7107,6606
97,3458
6556,6406
9230,5422
4457,706
532,975
3917,7711
4118,4779
10332,3523
2834,8900
5168,3555
3369,1378
4962,7447
3591,2043
3529,4192
5897,10066
3082,2615
10759,4251
2884,599
977,3063
5426,815
9672,7217
9322,10646
11391,5179
3259,5056
4738,9142
6224,7996
8621,3490
11351,5332
10231,7873
7686,1403
9097,6917
2972,1200
6458,3667
3677,1961
7989,8298
2612,3216
7518,3596
4024,7327
7441,4244
137,307
6521,9122
782,8784
2877,11258
2809,5580
9327,3128
3389,5546
4479,2448
11158,2833
3678,6445
1706,4816
275,1715
7402,4534
4826,9751
8755,5403
1901,272
7774,9409
9095,7330
1864,3037
7319,8566
1432,8559
5672,243
7586,3217
338,1883
5228,871
8764,4463
3924,8363
983,3410
7996,9512
4075,9451
1954,6585
6102,824
10572,5404
9351,3807
3694,7095
2295,6731
7528,6090
5072,2109
6679,7784
277,7736
8782,3921
2384,4296
3724,3937
3004,11157
2608,7638
8946,2147
6480,7562
11288,950
6368,7461
2429,621
5011,4344
7812,1945
6622,1161
1264,6202
3748,7560
1982,922
2202,4156
11453,10780
7995,3114
448,7543
1881,881
3895,2623
3504,546
7033,391
11336,11207
2806,308
8003,6500
8198,6320
10407,2398
9179,8636
6482,7322
778,7826
3946,3640
1186,3359
7561,5897
1073,1784
4161,1177
4672,5938
3007,3988
959,5765
530,4009
4228,11197
5367,11434
6895,4982
7572,3095
7151,7753
11458,2203
1538,986
7372,2320
9681,5965
10963,8432
2462,6812
10181,3053
1053,10644
4405,4452
8509,2942
9048,8710
5002,2853
10151,1032
11500,654
5261,11263
2326,2647
1543,6629
1028,4833
11339,11453
4408,10346
4504,6154
10187,5369
7060,746
11379,11
50,6048
3482,10784
9519,2613
1667,8196
3240,8208
6080,1809
7517,4715
4033,5223
3212,10226
232,6113
5638,5575
701,11521
3406,3401
1976,11429
6073,6593
7545,2116
10780,4796
8773,3928
5608,8436
1860,8241
7903,1704
1910,10469
5451,4749
7161,3542
3796,7224
4070,187
371,2178
5583,3165
753,3087
2181,3219
2552,1120
1755,581
7487,9041
11546,8832
7688,1628
7425,1932
4881,10693
4521,1282
3356,6053
1615,858
6927,2397
9468,10854
553,2881
2043,1553
7072,8038
11343,1415
9751,11157
11467,725
2860,3599
2455,388
6158,5821
4358,11548
1459,9008
3413,6284
8841,6148
7467,6813
5766,11432
8321,1252
10090,9405
8994,9533
11236,4548
989,1501
1194,254
10693,2077
8871,2532
858,10695
3526,4719
6077,5132
5779,3115
8582,186
3960,7095
8795,7605
8849,1769
3943,730
2344,3856
7728,7101
4705,10355
11204,5369
5546,3750
3864,4618
1342,3476
1829,5115
1275,11150
1976,5131
10965,4667
10535,4128
6957,7907
5573,324
7423,8666
3776,6632
7728,4134
9451,10048
5800,72
10959,4128
9647,8115
9746,8773
720,7751
2827,4373
8049,9693
534,2271
6209,11138
5633,4234
2655,7634
8749,3792
4810,5426
3223,4178
4837,10215
2631,7791
10781,8320
10391,2676
2399,7602
4391,8795
10425,1632
6594,3846
7213,5443
3628,10849
7708,3779
4076,2204
2082,6894
7509,2883
11532,3453
1400,1776
6433,2596
7004,9442
8506,3468
185,3279
10862,166
9031,1142
8716,5304
8396,3882
6479,5906
1073,4961
3918,7985
7543,3807
200,7506
4712,7665
408,502
8588,11223
1117,5355
8010,5299
1305,2934
1511,6198
3114,6340
2892,8793
3746,4144
7873,7027
10211,871
2269,4869
4615,1299
7383,4035
1299,2254
3203,8101
2932,11196
11438,6771
3775,256
2918,4708
1076,838
6717,3213
11289,9609
4251,8062
99,8952
10061,6841
11370,7159
4659,3113
112,10187
2881,8866
1715,3728
7760,5539
7325,7275
10246,1608
3816,8852
10232,78
6822,3221
3901,4646
6312,9761
9843,3703
39,2136
8608,11297
810,8404
3269,3462
4706,6395
903,5683
2975,7977
5574,4403
8051,70
4097,11333
7829,9092
8053,4551
4582,9245
5389,1200
8176,1839
678,9721
10746,108
5253,8543
4624,11210
11370,7376
5561,3573
6588,4858
2388,8268
5265,10940
2769,7474
5665,9384
4995,5706
6383,11471
4711,1887
3396,4430
1448,1703
9709,7894
6010,7858
953,4917
6532,9649
354,8218
4469,9455
7818,7945
8086,10630
6269,4691
7237,6206
3225,9319
3421,598
1886,483
1787,4253
6038,5131
11258,7384
11463,2018
11462,1045
1707,6369
617,5900
4363,6316
6413,2618
838,8520
1921,3432
9465,1258
52,10291
1748,10403
1354,3347
6599,3878
10054,2877
7926,8942
4468,2807
7189,6392
177,3970
3399,8521
2807,9191
1879,9718
407,6159
183,2086
11241,9055
11148,954
4408,2627
9395,10638
2479,4386
8959,8846
5760,2310
633,732
3506,5095
680,5351
8629,4274
8467,3753
3370,10317
5241,598
4816,6846
8837,11246
5157,457
7468,3589
7863,1916
2767,6619
9414,5144
10826,2241
1366,819
8441,7608
8907,8729
2361,3931
2382,3629
6955,8179
5041,2595
2370,261
688,2585
2159,4511
4189,2160
6356,8775
4820,1914
1,4251
1459,3086
8801,11151
9204,87
5030,2874
8670,4414
9023,1512
467,176
7311,7601
4932,2430
4262,7129
9121,1011
7471,1779
2670,640
4684,7903
3612,6579
6041,5398
2820,10157
11363,8535
11397,10249
8815,11209
1166,1081
2935,1006
7572,7283
4374,3114
10674,7358
10864,11461
3046,11145
5220,9725
1849,9719
2906,4130
3886,11167
5514,7776
7518,3655
6852,2443
1202,11235
4101,7414
6413,3793
5376,2226
4662,6029
2292,3867
10849,5358
4676,9461
857,5363
9127,7614
11392,3330
6081,311
1320,794
4200,6054
10358,126
11200,10185
1501,4121
6073,10922
1440,10759
3946,4232
7990,11442
6269,9026
4771,4007
2562,11505
6952,10175
2227,7408
3589,65
1896,9860
5045,7573
9743,7634
2762,5727
3970,4172
1599,7763
3353,510
1897,2533
5114,1950
11345,8596
4453,4952
1542,6084
760,1216
667,827
5532,434
9040,562
11436,499
6305,1373
7861,8568
8056,7701
1521,6419
8327,4432
579,3344
1774,9684
1957,3057
708,1798
4664,2710
4166,4881
1055,755
5673,8402
4891,57
936,6800
2483,2167
2084,8674
3148,5152
2087,6279
6391,7495
6973,4931
2126,7088
10465,2203
10068,7806
8383,6811
3826,501
6095,5370
8804,2571
5491,6151
2757,333
10087,7005
11288,758
9748,8613
662,6218
681,1248
5250,6464
8075,2285
867,6590
231,5513
670,6612
3913,479
2708,2744
5953,1885
4976,3681
10089,663
4914,4900
7689,9723
10858,7781
4053,508
4554,7176
3150,4779
849,7417
7305,2900
737,5083
5568,981
10991,8327
6279,8914
5016,10213
3888,1327
637,9356
8331,702
2745,6832
6269,6202
3622,10233
7716,10933
6465,4833
911,8413
5183,1813
386,1148
1032,846
11476,1899
8407,6780
11392,2593
1439,7321
1299,6169
11233,8947
624,1020
9487,429
2368,2510
9817,7425
8989,8088
5089,4068
3790,5117
6007,2895
9432,658
178,6094
6126,8056
3830,1148
5715,8976
9104,2161
3117,7572
10635,5763
3968,2531
6171,1335
422,3860
2591,7992
3731,372
9030,4071
557,6349
2593,2729
263,2307
1945,3340
10862,11256
3045,9282
4377,9318
11218,8658
4878,3576
6744,2730
2584,4403
3919,240
6384,212
5343,4021
2230,10066
6628,100
3081,1390
3209,11464
6105,3764
7501,4146
5442,3101
3408,1015
25,5363
3607,10833
6355,2585
8088,6810
4637,4953
8882,7237
2543,2957
745,10790
2914,4026
8607,1385
1141,322
2518,1492
8777,648
7820,3354
6618,4545
727,4554
6895,9346
2368,7536
1909,2222
8674,1530
5394,3029
4216,8902
5515,1873
10461,3311
3546,6881
3221,2647
3465,2498
5901,7183
10346,3468
10993,3392
3863,650
9318,6827
1421,3591
5218,11324
6567,4015
10076,6986
2099,9423
10276,7801
10338,2072
242,11355
